"Qualifying Name","Name of Area","FIPS","Nation","State","County","Census Tracts","Cities","Tenant Congressional District","Projects","Core Based Statistical Areas","Public Housing Agencies","People in Subsidized Housing (Summary of all HUD Programs)","Average Individual Income Per Year (All Individuals in Subsidized Housing Units) (Summary of all HUD Programs)","Aggregate Household Income (All Households in Subsidized Housing Units) (Summary of all HUD Programs)","Average Family Expenditure per month (Payment toward Rent and Utilities) (Summary of all HUD Programs)","Average HUD Expenditure per month (Federal Spending) (Summary of all HUD Programs)","Percentage of the Population Below Poverty Level in the Census Tract Where HUD Assisted Families Reside (Summary of all HUD Programs)","Households in Subsidized Housing (Summary of all HUD Programs)","Households in Subsidized Housing: Households Headed by Female (Summary of all HUD Programs)","Households in Subsidized Housing: Households Headed by a Female With Children (Summary of all HUD Programs)"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_CITIES,Geo_TCD,Geo_PROJECTS,Geo_CBSA,Geo_PHA,ALL_HUD_A001_001,ALL_HUD_A005_001,ALL_HUD_A006_001,ALL_HUD_A011_001,ALL_HUD_A011_002,ALL_HUD_A012_001,ALL_HUD_A014_001,ALL_HUD_A014_002,ALL_HUD_A014_003
"Alabama","Alabama","01","00","01",,,,,,,,183155,5316,973579744,262,505,31,83756,70355.04,39365.32
"Alaska","Alaska","02","00","02",,,,,,,,16960,9327,158184288,501,697,13,7848,5179.68,2432.88
"Arizona","Arizona","04","00","04",,,,,,,,91244,5149,469804615,297,634,30,39095,28930.3,14074.2
"Arkansas","Arkansas","05","00","05",,,,,,,,90852,5758,523119840,259,444,29,46212,35583.24,16636.32
"California","California","06","00","06",,,,,,,,979609,7520,7367022985,417,955,25,457835,325062.85,123615.45
"Colorado","Colorado","08","00","08",,,,,,,,116502,6366,741686466,316,713,22,57198,40610.58,18303.36
"Connecticut","Connecticut","09","00","09",,,,,,,,153858,7739,1190677602,379,840,24,75849,59162.22,25030.17
"Delaware","Delaware","10","00","10",,,,,,,,25624,6689,171412922,333,726,24,12182,9867.42,4750.98
"District of Columbia","District of Columbia","11","00","11",,,,,,,,60242,6769,407807480,340,1063,28,28520,21675.2,9982
"Florida","Florida","12","00","12",,,,,,,,417889,5783,2416777560,324,722,29,187260,147935.4,71158.8
"Georgia","Georgia","13","00","13",,,,,,,,292936,5288,1549145410,291,631,32,125998,103318.36,57959.08
"Hawaii","Hawaii","15","00","15",,,,,,,,48423,6799,329249776,423,972,19,18892,12657.64,5856.52
"Idaho","Idaho","16","00","16",,,,,,,,23744,6233,147991907,308,516,21,11711,8431.92,3513.3
"Illinois","Illinois","17","00","17",,,,,,,,420421,6372,2678990802,315,774,28,208498,160543.46,70889.32
"Indiana","Indiana","18","00","18",,,,,,,,160171,5696,912386264,272,520,27,80914,63112.92,29938.18
"Iowa","Iowa","19","00","19",,,,,,,,67032,6870,460493206,298,429,19,36866,26174.86,10322.48
"Kansas","Kansas","20","00","20",,,,,,,,54950,7284,400259456,284,464,22,31168,22440.96,8103.68
"Kentucky","Kentucky","21","00","21",,,,,,,,154579,5569,860776674,260,489,29,76602,58217.52,27576.72
"Louisiana","Louisiana","22","00","22",,,,,,,,193475,5309,1027077906,292,602,32,84561,69340.02,38898.06
"Maine","Maine","23","00","23",,,,,,,,46420,7504,348344168,330,651,22,25301,17710.7,5819.23
"Maryland","Maryland","24","00","24",,,,,,,,187872,7238,1359795971,365,926,20,89797,69143.69,32326.92
"Massachusetts","Massachusetts","25","00","25",,,,,,,,354471,8915,3160271400,411,962,23,184165,134440.45,51566.2
